prediction_covid_topic,title,description,authors,date_download,date_publish,maintext,url,gdelt_title,gdelt_url,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,Covid-19. A situação ao minuto do novo coronavírus no país e no mundo,"Acompanhamos aqui a situação no país e no mundo relacionada com a Covid-19, a pandemia que está a afetar praticamente todo o mundo.",Rádio E Televisão De Portugal,2020-05-16 12:15:43,2020-05-16 10:11:02,"Acompanhamos aqui a situação no país e no mundo relacionada com a Covid-19, a pandemia que está a afetar praticamente todo o mundo.
Mais atualizações
VEJA A INFOGRAFIA COM TODOS OS DADOS ATUALIZADOS DA SITUAÇÃO EM PORTUGAL. CLIQUE AQUI
08h24 - Mortes nos EUA
De acordo com a Universidade Johns Hopkins morreram nos EUA nas últimas 24 horas mais 1.680 pessoas. No total o país regista agora 87.493 vítimas mortais.
08h21 - EUA podem voltar a pagar à OMS
Trump parece disponível a voltar a participar no apoio com fundos à OMS, avança a Fox News.
Mas pagará, adianta a Fox, o mesmo valor que a China contribui.
Trump suspendeu os pagamentos à OMS em abril acusando a OMS de promover a desinformação chinesa sobre o vírus.
08h19 - Covid-19. Calendário da segunda fase de levantamento das medidas de confinamento. Clique aqui para saber mais.
Abrimos aqui um novo artigo ao minuto para que possa acompanhar todas as notícias relacionadas com a pandemia que afeta o mundo.
Os últimos dados divulgados sobre Portugal indicam que o país registou nas últimas 24 horas mais 264 casos de infeção por Covid-19 e mais seis óbitos. Desde o início da pandemia foram registados 28.583 infetados e 1.190 vítimas mortais. Recuperaram da doença 3.328 pessoas, mais 139 do que no registo anterior.
Segundo o boletim epidemiológico da DGS, estão internados 673 doentes, dos quais 112 em unidades de cuidados intensivos. Na véspera estavam internadas 680 pessoas e 108 em UCI. Em vigilância pelas autoridades de saúde estão 25.792 pessoas. A aguardar resultado laboratorial estão 2.722 pessoas.
A região Norte é a que regista o maior número de mortos (677), seguida da região de Lisboa e Vale do Tejo (262), do Centro (221), do Algarve (14), dos Açores (15) e do Alentejo, que regista um caso, adianta o relatório da situação epidemiológica, com dados atualizados até às 24:00 de quinta-feira, mantendo-se a Região Autónoma da Madeira sem registo de óbitos.",https://www.rtp.pt/noticias/covid-19/covid-19-a-situacao-ao-minuto-do-novo-coronavirus-no-pais-e-no-mundo_e1229356,Covid - 19 . A situao ao minuto do novo coronavírus no país e no mundo,https://www.rtp.pt/noticias/covid-19/covid-19-a-situacao-ao-minuto-do-novo-coronavirus-no-pais-e-no-mundo_e1229356,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-16T07:30:00Z,"https://cdn-images.rtp.pt/icm/noticias/images/8a/8af816fce1e2edd310d1f57ae9eda0a4?&q=90&rect=0,0,1499,822&auto=format",rtp.pt,Portuguese,Portugal,"Acompanhamos aqui a situação no país e no mundo relacionada com a Covid-19, a pandemia que está a afetar praticamente todo o mundo.
Mais atualizações
VEJA A INFOGRAFIA COM TODOS OS DADOS ATUALIZADOS DA SITUAÇÃO EM PORTUGAL. CLIQUE AQUI
08h24 - Mortes nos EUA
De acordo com a Universidade Johns Hopkins morreram nos EUA nas últimas 24 horas mais 1.680 pessoas. No total o país regista agora 87.493 vítimas mortais.
08h21 - EUA podem voltar a pagar à OMS
Trump parece disponível a voltar a participar no apoio com fundos à OMS, avança a Fox News.
Mas pagará, adianta a Fox, o mesmo valor que a China contribui.
Trump suspendeu os pagamentos à OMS em abril acusando a OMS de promover a desinformação chinesa sobre o vírus.
08h19 - Covid-19. Calendário da segunda fase de levantamento das medidas de confinamento. Clique aqui para saber mais.
Abrimos aqui um novo artigo ao minuto para que possa acompanhar todas as notícias relacionadas com a pandemia que afeta o mundo.
Os últimos dados divulgados sobre Portugal indicam que o país registou nas últimas 24 horas mais 264 casos de infeção por Covid-19 e mais seis óbitos. Desde o início da pandemia foram registados 28.583 infetados e 1.190 vítimas mortais. Recuperaram da doença 3.328 pessoas, mais 139 do que no registo anterior.
Segundo o boletim epidemiológico da DGS, estão internados 673 doentes, dos quais 112 em unidades de cuidados intensivos. Na véspera estavam internadas 680 pessoas e 108 em UCI. Em vigilância pelas autoridades de saúde estão 25.792 pessoas. A aguardar resultado laboratorial estão 2.722 pessoas.
A região Norte é a que regista o maior número de mortos (677), seguida da região de Lisboa e Vale do Tejo (262), do Centro (221), do Algarve (14), dos Açores (15) e do Alentejo, que regista um caso, adianta o relatório da situação epidemiológica, com dados atualizados até às 24:00 de quinta-feira, mantendo-se a Região Autónoma da Madeira sem registo de óbitos.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,História da semana: Os cinco números (mais) importantes,"Sempre em cima da atualidade, o Notícias ao Minuto avaliou os momentos fundamentais desta semana que são transversais a vários setores. Conheça-os através dos principais números.",Beatriz Vasconcelos,2020-05-16 12:15:53,2020-05-16 09:04:00,"Com os olhos postos já na segunda fase do desconfinamento, que arranca na próxima segunda-feira, dia 18 de maio, estes últimos dias ficaram marcados pelos primeiros números económicos que revelam já o impacto da pandemia da Covid-19 na economia portuguesa.
Sempre em cima da atualidade, o Notícias ao Minuto avaliou os principais momentos desta semana que são transversais a vários setores.
1. Três horas de reunião colocam fim a uma possível crise política
Esta semana ficou marcada pela polémica em torno da transferência para o Fundo de Resolução, para depois ser aplicada no Novo Banco. O mal-estar entre o ministro das Finanças, Mário Centeno, e o primeiro-ministro, António Costa, foi evidente, o que levou a uma reunião entre ambos, numa altura em que o Presidente da República já tinha saído em defesa de Costa.
Seja como for, as três horas que Centeno e Costa estiveram reunidos, na quarta-feira à noite, foram suficientes para por termo à possível crise política. Resta saber até quando.
2. Centeno estima perda de receita no valor de 10 mil milhões de euros
O ministro das Finanças adiantou, esta semana, em entrevista à TSF, que as suas estimativas apontam para uma ""elevada perda de receita"" pelo Estado, a qual ""vai ser muito próxima dos 10 mil milhões de euros até ao final do ano"", por causa dos constrangimentos relacionados com a pandemia.
3. Por falar em pandemia... PIB caiu 2,4% no 1.º trimestre
A economia portuguesa terá registado uma quebra do PIB de 2,4% nos primeiros três meses do ano, refletindo já os efeitos da Covid-19, de acordo com a estimativa rápida divulgada pelo Instituto Nacional de Estatística (INE), na sexta-feira.
Comparando com os restantes países da União Europeia, que reportaram resultados, Portugal registou a sexta queda mais acentuada, numa tabela liderada por França. O Ministério das Finanças disse ainda que a queda ""está totalmente alinhada"" com as estimativas setoriais do Programa de Estabilidade.
4. Superada a barreira dos 3.000 recuperados da Covid-19 em Portugal
Numa altura em que o número de infetados supera largamente os 28 mil, o número de recuperados também começa a escalar. Esta semana foi superada a barreira dos 3.000 recuperados. Os dados mais recentes, divulgados pela Direção-Geral da Saúde (DGS) ao meio-dia de sexta-feira, dão conta já de 3.328 indivíduos que superaram a doença em Portugal.
5. Confirmados 13 casos de Covid-19 na I Liga
Numa altura em que os clubes da I Liga de Futebol preparam o regresso à competição, estão também a ser feitos muitos testes aos jogadores. Esta semana, foram detetados 13 casos positivos do novo coronavírus: David Tavares, do Benfica; quatro jogadores e três elementos do staff do Famalicão, que entretanto passaram a apenas um; três jogadores do Vitória SC; um do Moreirense e um do Belenenses SAD. Os encarnados, refira-se, foram o único clube a divulgar a entidade do atleta infetado.
Questionada sobre a possibilidade de haver jogadores do FC Porto infetados, Graças Freitas, diretora-geral da Saúde, disse não ter conhecimento de qualquer caso detetado no emblema azul e branco, porque essa informação não foi reportada.
Leia Também: ""A crise foi ultrapassada"", quem o diz é o próprio ministro Centeno
Recomendados para si",https://www.noticiasaominuto.com/economia/1479748/historia-da-semana-os-cinco-numeros-mais-importantes,História da semana : Os cinco números ( mais ) importantes,https://www.noticiasaominuto.com/economia/1479748/historia-da-semana-os-cinco-numeros-mais-importantes,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-16T07:15:00Z,https://media-manager.noticiasaominuto.com/1280/1589551743/naom_5ebea029270b4.jpg?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoyNTYwLCJjcm9wSGVpZ2h0IjoxNDM5LCJjcm9wWCI6MCwiY3JvcFkiOjEzfX0=,noticiasaominuto.com,Portuguese,Portugal,"Com os olhos postos já na segunda fase do desconfinamento, que arranca na próxima segunda-feira, dia 18 de maio, estes últimos dias ficaram marcados pelos primeiros números económicos que revelam já o impacto da pandemia da Covid-19 na economia portuguesa.
Sempre em cima da atualidade, o Notícias ao Minuto avaliou os principais momentos desta semana que são transversais a vários setores.
1. Três horas de reunião colocam fim a uma possível crise política
Esta semana ficou marcada pela polémica em torno da transferência para o Fundo de Resolução, para depois ser aplicada no Novo Banco. O mal-estar entre o ministro das Finanças, Mário Centeno, e o primeiro-ministro, António Costa, foi evidente, o que levou a uma reunião entre ambos, numa altura em que o Presidente da República já tinha saído em defesa de Costa.
Seja como for, as três horas que Centeno e Costa estiveram reunidos, na quarta-feira à noite, foram suficientes para por termo à possível crise política. Resta saber até quando.
2. Centeno estima perda de receita no valor de 10 mil milhões de euros
O ministro das Finanças adiantou, esta semana, em entrevista à TSF, que as suas estimativas apontam para uma ""elevada perda de receita"" pelo Estado, a qual ""vai ser muito próxima dos 10 mil milhões de euros até ao final do ano"", por causa dos constrangimentos relacionados com a pandemia.
3. Por falar em pandemia... PIB caiu 2,4% no 1.º trimestre
A economia portuguesa terá registado uma quebra do PIB de 2,4% nos primeiros três meses do ano, refletindo já os efeitos da Covid-19, de acordo com a estimativa rápida divulgada pelo Instituto Nacional de Estatística (INE), na sexta-feira.
Comparando com os restantes países da União Europeia, que reportaram resultados, Portugal registou a sexta queda mais acentuada, numa tabela liderada por França. O Ministério das Finanças disse ainda que a queda ""está totalmente alinhada"" com as estimativas setoriais do Programa de Estabilidade.
4. Superada a barreira dos 3.000 recuperados da Covid-19 em Portugal
Numa altura em que o número de infetados supera largamente os 28 mil, o número de recuperados também começa a escalar. Esta semana foi superada a barreira dos 3.000 recuperados. Os dados mais recentes, divulgados pela Direção-Geral da Saúde (DGS) ao meio-dia de sexta-feira, dão conta já de 3.328 indivíduos que superaram a doença em Portugal.
5. Confirmados 13 casos de Covid-19 na I Liga
Numa altura em que os clubes da I Liga de Futebol preparam o regresso à competição, estão também a ser feitos muitos testes aos jogadores. Esta semana, foram detetados 13 casos positivos do novo coronavírus: David Tavares, do Benfica; quatro jogadores e três elementos do staff do Famalicão, que entretanto passaram a apenas um; três jogadores do Vitória SC; um do Moreirense e um do Belenenses SAD. Os encarnados, refira-se, foram o único clube a divulgar a entidade do atleta infetado.
Questionada sobre a possibilidade de haver jogadores do FC Porto infetados, Graças Freitas, diretora-geral da Saúde, disse não ter conhecimento de qualquer caso detetado no emblema azul e branco, porque essa informação não foi reportada.
Leia Também: ""A crise foi ultrapassada"", quem o diz é o próprio ministro Centeno
Recomendados para si",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,AO MINUTO: Desconfinamento prossegue por cá; EUA com mais 1.680 mortes,Acompanhe aqui AO MINUTO os mais recentes desenvolvimentos sobre a Covid-19 em Portugal e no resto do Mundo.,Catarina Correia Rocha,2020-05-16 12:15:54,2020-05-16 09:20:36,"António Costa falou esta sexta-feira ao país após a reunião do Conselho de Ministros onde salientou que as primeiras medidas de desconfinamento, tomadas há 15 dias, não aumentaram o número de infetados e mortos em Portugal. Por isso, ""não há razão para retroceder medidas ou adiar [a] segunda fase"".
Já sobre as praias, o primeiro-ministro revelou que vai existir um aplicação - 'Infopraia' - onde passará a ter disponível para cada praia uma informação com sinal amarelo, verde ou vermelho, que indicará que a praia está livre, com muita gente ou cheia. Estas 'reabrem' a 6 de junho e os jogos de bola e de raquetes estão proibidos.
De acordo com o boletim da Direção-Geral de Saúde (DGS), divulgado esta sexta-feira, Portugal contabiliza 28.583 casos de infeção e 1.190 óbitos associados à doença, tendo registado, nas últimas 24 horas, mais seis óbitos e 264 novos casos de infeção.
Consulte os mapas da evolução da pandemia do novo coronavírus em Portugal e no resto do mundo.
Acompanhe aqui AO MINUTO os mais recentes desenvolvimentos sobre a Covid-19 em Portugal e no resto do Mundo:
08h13 - A Alemanha tem, este sábado, 173.772 infetados com o novo coronavírus (um aumento de 620 casos nas últimas 24 horas, o que corresponde a uma variação de 0,36%) e 7.881 vítimas mortais (mais 57 desde ontem, num aumento de 0,73%). Os dados foram hoje revelados pelo Instituto Robert Koch.
07h53 - A população apelidada de 'geração à rasca' há 10 anos volta a enfrentar o ""peso de mais uma crise"", apresentando a maior perda de rendimento e o maior risco de ser infetada, segundo o Barómetro Covid-19 hoje divulgado.
07h43 - A China voltou a não registar mortes nas últimas 24 horas e apenas mais oito casos de infeção com o novo coronavírus, seis deles importados, anunciou hoje a Comissão Nacional de Saúde.
07h32 - O México registou 290 mortos e 2.437 infetados nas últimas 24 horas, elevando para 4.767 o número de óbitos e para 45.032 o total de contágios com a Covid-19, segundo dados oficiais.
07h20 - A Itália vai permitir viagens entre regiões e, com a reabertura de muitos negócios, na segunda-feira, foi estabelecido um protocolo de segurança, obrigando a um metro de distância entre clientes, devido à pandemia de Covid-19, segundo fontes do Governo.
07h18 - A Alemanha diminuiu as restrições ao tráfego fronteiriço, impostas pela Covid-19, com a Áustria, Suíça e França, a partir de sábado, autorizando visitas familiares de cidadãos não alemães pela primeira vez desde o início da pandemia.
07h15 - A Articulação dos Povos Indígenas do Brasil (APIB) informou que 38 povos indígenas do país já foram afetados pelo novo coronavírus desde o início da pandemia.
07h12 - Os Estados Unidos registaram 1.680 mortos causados pela Covid-19 nas últimas 24 horas, o que elevou o número total de óbitos para 87.493, segundo a contagem independente da Universidade Johns Hopkins.
07h05 - Os restaurantes vão reabrir ao público na segunda-feira, com fortes restrições, devido à pandemia da Covid-19, mas os proprietários dos estabelecimentos garantem que ""estão criadas todas as condições"" e vai haver segurança, se todos cumprirem as regras.
07h00 - Bom dia! Criámos um novo registo que será atualizado com as mais recentes incidências do novo coronavírus em Portugal e no Mundo. Para ler o acompanhamento de ontem, clique aqui.
Leia Também: AO MINUTO: Brasil soma 824 novas mortes. 300 mil óbitos no mundo
Recomendados para si",https://www.noticiasaominuto.com/mundo/1480246/ao-minuto-desconfinamento-prossegue-por-ca-eua-com-mais-1680-mortes,AO MINUTO : Desconfinamento prossegue por cá ; EUA com mais 1 . 680 mortes,https://www.noticiasaominuto.com/mundo/1480246/ao-minuto-desconfinamento-prossegue-por-ca-eua-com-mais-1680-mortes,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-16T07:15:00Z,https://media-manager.noticiasaominuto.com/1280/1589610514/naom_5ebf87a1b9622.jpg?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoyNTYwLCJjcm9wSGVpZ2h0IjoxNDQwLCJjcm9wWCI6MCwiY3JvcFkiOjM3fSwicG9ydHJhaXQiOnsiY3JvcFdpZHRoIjo5NjAsImNyb3BIZWlnaHQiOjE2MjIsImNyb3BYIjoxMzczLCJjcm9wWSI6MH19,noticiasaominuto.com,Portuguese,Portugal,"António Costa falou esta sexta-feira ao país após a reunião do Conselho de Ministros onde salientou que as primeiras medidas de desconfinamento, tomadas há 15 dias, não aumentaram o número de infetados e mortos em Portugal. Por isso, ""não há razão para retroceder medidas ou adiar [a] segunda fase"".
Já sobre as praias, o primeiro-ministro revelou que vai existir um aplicação - 'Infopraia' - onde passará a ter disponível para cada praia uma informação com sinal amarelo, verde ou vermelho, que indicará que a praia está livre, com muita gente ou cheia. Estas 'reabrem' a 6 de junho e os jogos de bola e de raquetes estão proibidos.
De acordo com o boletim da Direção-Geral de Saúde (DGS), divulgado esta sexta-feira, Portugal contabiliza 28.583 casos de infeção e 1.190 óbitos associados à doença, tendo registado, nas últimas 24 horas, mais seis óbitos e 264 novos casos de infeção.
Consulte os mapas da evolução da pandemia do novo coronavírus em Portugal e no resto do mundo.
Acompanhe aqui AO MINUTO os mais recentes desenvolvimentos sobre a Covid-19 em Portugal e no resto do Mundo:
08h13 - A Alemanha tem, este sábado, 173.772 infetados com o novo coronavírus (um aumento de 620 casos nas últimas 24 horas, o que corresponde a uma variação de 0,36%) e 7.881 vítimas mortais (mais 57 desde ontem, num aumento de 0,73%). Os dados foram hoje revelados pelo Instituto Robert Koch.
07h53 - A população apelidada de 'geração à rasca' há 10 anos volta a enfrentar o ""peso de mais uma crise"", apresentando a maior perda de rendimento e o maior risco de ser infetada, segundo o Barómetro Covid-19 hoje divulgado.
07h43 - A China voltou a não registar mortes nas últimas 24 horas e apenas mais oito casos de infeção com o novo coronavírus, seis deles importados, anunciou hoje a Comissão Nacional de Saúde.
07h32 - O México registou 290 mortos e 2.437 infetados nas últimas 24 horas, elevando para 4.767 o número de óbitos e para 45.032 o total de contágios com a Covid-19, segundo dados oficiais.
07h20 - A Itália vai permitir viagens entre regiões e, com a reabertura de muitos negócios, na segunda-feira, foi estabelecido um protocolo de segurança, obrigando a um metro de distância entre clientes, devido à pandemia de Covid-19, segundo fontes do Governo.
07h18 - A Alemanha diminuiu as restrições ao tráfego fronteiriço, impostas pela Covid-19, com a Áustria, Suíça e França, a partir de sábado, autorizando visitas familiares de cidadãos não alemães pela primeira vez desde o início da pandemia.
07h15 - A Articulação dos Povos Indígenas do Brasil (APIB) informou que 38 povos indígenas do país já foram afetados pelo novo coronavírus desde o início da pandemia.
07h12 - Os Estados Unidos registaram 1.680 mortos causados pela Covid-19 nas últimas 24 horas, o que elevou o número total de óbitos para 87.493, segundo a contagem independente da Universidade Johns Hopkins.
07h05 - Os restaurantes vão reabrir ao público na segunda-feira, com fortes restrições, devido à pandemia da Covid-19, mas os proprietários dos estabelecimentos garantem que ""estão criadas todas as condições"" e vai haver segurança, se todos cumprirem as regras.
07h00 - Bom dia! Criámos um novo registo que será atualizado com as mais recentes incidências do novo coronavírus em Portugal e no Mundo. Para ler o acompanhamento de ontem, clique aqui.
Leia Também: AO MINUTO: Brasil soma 824 novas mortes. 300 mil óbitos no mundo
Recomendados para si",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Ricky Martin confessa que viveu crise emocional durante a quarentena,O músico teve dificuldades em lidar com o isolamento social.,Notícias Ao Minuto,2020-05-16 12:16:01,2020-05-16 09:06:00,"Ao 60.º dia de quarentena, Ricky Martin usou a rede social Twitter para partilhar com os seguidores um longo desabafo onde assume que enfrentou sérias dificuldades durante este período de isolamento social. O artista confessa mesmo que sofreu uma crise emocional durante a quarentena.
“Eu não queria partilhar a montanha-russa que este confinamento tem sido para mim, mas como o foco na televisão em relação a este vírus parece dar apenas importância a que se mantenha o sistema imunológico forte, evitando falar sobre saúde mental em tempos de crise e as lutas que a acompanham, decidi abrir-me para te informar que não estás sozinho ”, começa por escrever o músico, que se encontra de quarentena com o marido, o artista plástico Jwan Josef, e os quatro filhos de ambos.
Ricky Martin explica que passou por fases de ""negação, raiva, tristeza"" e só depois a aceitação, mas com períodos em que voltava à negação. Uma das maiores dificuldades que enfrentou, confessa, prendeu-se com o facto de ver desmoronarem-se os planos que tinha feito para o ano de 2020.
Para o ajudar a ultrapassar esta fase menos positiva, o músico contou com o apoio do marido. Jwan Josef mostrou-lhe imagens dos efeitos positivos que a pandemia estava a ter, por exemplo, no meio ambiente. E foram estas imagens que o inspiraram a recuperar o espírito positivo e que o ajudaram a criar novos projetos em tempos de pandemia.
""Agora estou louco para vos mostrar (a qualquer momento) o que temos feito nestes tempos extraordinários”, completou.
Leia Também: Dados pessoais de Lady Gaga roubados por hackers
Recomendados para si",https://www.noticiasaominuto.com/fama/1479793/ricky-martin-confessa-que-viveu-crise-emocional-durante-a-quarentena,Ricky Martin confessa que viveu crise emocional durante a quarentena,https://www.noticiasaominuto.com/fama/1479793/ricky-martin-confessa-que-viveu-crise-emocional-durante-a-quarentena,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-16T07:15:00Z,https://media-manager.noticiasaominuto.com/1280/1589553256/naom_59f897c6ebad9.jpg?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoyMjY5LCJjcm9wSGVpZ2h0IjoxMjc3LCJjcm9wWCI6MTQsImNyb3BZIjozNzZ9fQ==,noticiasaominuto.com,Portuguese,Portugal,"Ao 60.º dia de quarentena, Ricky Martin usou a rede social Twitter para partilhar com os seguidores um longo desabafo onde assume que enfrentou sérias dificuldades durante este período de isolamento social. O artista confessa mesmo que sofreu uma crise emocional durante a quarentena.
“Eu não queria partilhar a montanha-russa que este confinamento tem sido para mim, mas como o foco na televisão em relação a este vírus parece dar apenas importância a que se mantenha o sistema imunológico forte, evitando falar sobre saúde mental em tempos de crise e as lutas que a acompanham, decidi abrir-me para te informar que não estás sozinho ”, começa por escrever o músico, que se encontra de quarentena com o marido, o artista plástico Jwan Josef, e os quatro filhos de ambos.
Ricky Martin explica que passou por fases de ""negação, raiva, tristeza"" e só depois a aceitação, mas com períodos em que voltava à negação. Uma das maiores dificuldades que enfrentou, confessa, prendeu-se com o facto de ver desmoronarem-se os planos que tinha feito para o ano de 2020.
Para o ajudar a ultrapassar esta fase menos positiva, o músico contou com o apoio do marido. Jwan Josef mostrou-lhe imagens dos efeitos positivos que a pandemia estava a ter, por exemplo, no meio ambiente. E foram estas imagens que o inspiraram a recuperar o espírito positivo e que o ajudaram a criar novos projetos em tempos de pandemia.
""Agora estou louco para vos mostrar (a qualquer momento) o que temos feito nestes tempos extraordinários”, completou.
Leia Também: Dados pessoais de Lady Gaga roubados por hackers
Recomendados para si",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Resultados de países que iniciaram desconfinamento mais cedo são animadores - Barómetro,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-16 12:16:18,NA,"Covid-19
Os países europeus que começaram o desconfinamento mais cedo têm menores taxas de crescimento média do número de novos casos de covid-19, ""dados animadores"" e que ""dão esperança"" para Portugal, segundo o Barómetro da Escola Nacional de Saúde Pública.
""Olhando para o contexto internacional, vemos que os países europeus que começaram o levantamento de medidas de restrição primeiro que Portugal, como a Noruega, Áustria e República Checa, estão entre os países que atualmente apresentam as menores taxas de crescimento média do número de novos casos"" de covid-19, refere a Escola Nacional de Saúde Pública (ENSP).
Para os investigadores do Barómetro Covid-19, da ENSP, ""estes dados são animadores"" e dão ""esperança de que o nível de transmissão da covid-19 poderá manter-se baixo com as medidas de desconfinamento"" iniciadas há duas semanas em Portugal.",http://www.destak.pt/artigo/421296-resultados-de-paises-que-iniciaram-desconfinamento-mais-cedo-sao-animadores-barometro,Destak . pt | Covid - 19 : Resultados de países que iniciaram desconfinamento mais cedo são animadores,http://www.destak.pt/artigo/421296-resultados-de-paises-que-iniciaram-desconfinamento-mais-cedo-sao-animadores-barometro,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-16T07:15:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
Os países europeus que começaram o desconfinamento mais cedo têm menores taxas de crescimento média do número de novos casos de covid-19, ""dados animadores"" e que ""dão esperança"" para Portugal, segundo o Barómetro da Escola Nacional de Saúde Pública.
""Olhando para o contexto internacional, vemos que os países europeus que começaram o levantamento de medidas de restrição primeiro que Portugal, como a Noruega, Áustria e República Checa, estão entre os países que atualmente apresentam as menores taxas de crescimento média do número de novos casos"" de covid-19, refere a Escola Nacional de Saúde Pública (ENSP).
Para os investigadores do Barómetro Covid-19, da ENSP, ""estes dados são animadores"" e dão ""esperança de que o nível de transmissão da covid-19 poderá manter-se baixo com as medidas de desconfinamento"" iniciadas há duas semanas em Portugal.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
