prediction_covid_topic,title,description,authors,date_download,date_publish,maintext,url,gdelt_title,gdelt_url,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,Covid-19. Estados Unidos com 1.015 mortos nas últimas 24 horas,"Os Estados Unidos registaram 1.015 mortos causados pela covid-19 nas últimas 24 horas, o número mais baixo em um mês, indicou a Universidade Johns Hopkins.",Rádio E Televisão De Portugal,2020-05-05 10:15:25,2020-05-05 07:26:30,"Covid-19. Estados Unidos com 1.015 mortos nas últimas 24 horas
Estes novos óbitos, registados até à 1h30 desta terça-feira, em Lisboa, elevam para 68.689 o número de vítimas mortais desde o início da epidemia no país, o mais afetado pela covid-19 no mundo, de acordo com os dados oficiais.
Os Estados Unidos registam também o maior número de pessoas infetadas com a doença, com perto de 1,2 milhões de casos identificados. Cerca de 187.180 doentes foram já declarados curados.
De acordo com um documento interno da administração norte-americana, divulgado pelos jornais New York Times e Washington Post, prevê que o número de mortos diários devido à covid-19 poderá quase duplicar até 1 de junho.
O relatório prevê mais de três mil mortos e 200 mil novos casos registados todos os dias até àquela data, numa altura em que alguns estados norte-americanos começaram progressivamente a pôr fim às medidas de confinamento impostas à população.
A nível global, segundo um balanço da agência de notícias AFP, a pandemia de covid-19 já provocou mais de 250 mil mortos e infetou mais de 3,5 milhões de pessoas em 195 países e territórios.
Mais de um milhão de doentes foram considerados curados.",https://www.rtp.pt/noticias/mundo/covid-19-estados-unidos-com-1015-mortos-nas-ultimas-24-horas_n1226049,Covid - 19 . Estados Unidos com 1 . 015 mortos nas últimas 24 horas,https://www.rtp.pt/noticias/mundo/covid-19-estados-unidos-com-1015-mortos-nas-ultimas-24-horas_n1226049,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-05T05:00:00Z,"https://cdn-images.rtp.pt/icm/noticias/images/f5/f5acf1fc5965c7483f871ae032649244?&q=90&rect=0,103,1024,561&auto=format",rtp.pt,Portuguese,Portugal,"Covid-19. Estados Unidos com 1.015 mortos nas últimas 24 horas
Estes novos óbitos, registados até à 1h30 desta terça-feira, em Lisboa, elevam para 68.689 o número de vítimas mortais desde o início da epidemia no país, o mais afetado pela covid-19 no mundo, de acordo com os dados oficiais.
Os Estados Unidos registam também o maior número de pessoas infetadas com a doença, com perto de 1,2 milhões de casos identificados. Cerca de 187.180 doentes foram já declarados curados.
De acordo com um documento interno da administração norte-americana, divulgado pelos jornais New York Times e Washington Post, prevê que o número de mortos diários devido à covid-19 poderá quase duplicar até 1 de junho.
O relatório prevê mais de três mil mortos e 200 mil novos casos registados todos os dias até àquela data, numa altura em que alguns estados norte-americanos começaram progressivamente a pôr fim às medidas de confinamento impostas à população.
A nível global, segundo um balanço da agência de notícias AFP, a pandemia de covid-19 já provocou mais de 250 mil mortos e infetou mais de 3,5 milhões de pessoas em 195 países e territórios.
Mais de um milhão de doentes foram considerados curados.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Covid-19. Brasil regista 296 mortos e 6.633 infetados em 24 horas,"O Ministério da Saúde do Brasil corrigiu na noite de segunda-feira os números da covid-19, nas últimas 24 horas, para 296 mortos e 6.633 infetados, sem explicar o motivo do erro.",Rádio E Televisão De Portugal,2020-05-05 10:15:26,2020-05-05 07:42:14,"O Ministério da Saúde confirmou 296 mortes por covid-19 nas últimas 24 horas e o total de óbitos em decorrência do novo coronavírus no Brasil chegou a 7.321 nesta segunda-feira. O número foi corrigido após a divulgação de menos mortes e contaminações.O aumento no número de mortes no Brasil foi de 4%, passando de 7.025 no domingo para 7.321 na segunda-feira. Em relação ao número de infetados, o crescimento foi de 7%, passando de 101.147 para 107.780 casos confirmados.De acordo com a tutela, a taxa de letalidade da doença no país está agora em 6,8%, estando ainda a ser investigada uma eventual ligação com a covid-19 em 1.427 mortes.O ministério brasileiro deu ainda conta da recuperação de 45.815 doentes, sendo que 54.644 continuam sob observação médica.
São Paulo o mais flagelado
São Paulo, centro da covid-19 no país, totaliza oficialmente 2.654 mortos e 32.187 infetados.Seguem-se Rio de Janeiro, com 1.065 óbitos e 11.721 infetados, Ceará, com 712 mortos e 11.040 infetados, Pernambuco, 691 vítimas mortais e 8.863 casos, e Amazonas, com 584 mortes e 7.242 pessoas diagnosticadas com covid-19.O sudeste brasileiro, que engloba São Paulo e Rio de Janeiro, é a região mais afetada do país, com 49.481 casos da doença. No lado oposto está o centro-oeste, que concentra 3.247 casos de infeção pelo novo coronavírus.Apesar de muitos municípios do país não registarem casos, a covid-19 está presente em todos os Estados do país.",https://www.rtp.pt/noticias/mundo/covid-19-brasil-corrige-numeros-e-regista-296-mortos-e-6633-infetados-em-24-horas_n1226053,Covid - 19 . Brasil regista 296 mortos e 6 . 633 infetados em 24 horas,https://www.rtp.pt/noticias/mundo/covid-19-brasil-corrige-numeros-e-regista-296-mortos-e-6633-infetados-em-24-horas_n1226053,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-05T05:00:00Z,"https://cdn-images.rtp.pt/icm/noticias/images/a4/a41aa1708e3e21356de59ff06fe80d4a?&q=90&rect=0,14,1920,1053&auto=format",rtp.pt,Portuguese,Portugal,"O Ministério da Saúde confirmou 296 mortes por covid-19 nas últimas 24 horas e o total de óbitos em decorrência do novo coronavírus no Brasil chegou a 7.321 nesta segunda-feira. O número foi corrigido após a divulgação de menos mortes e contaminações.O aumento no número de mortes no Brasil foi de 4%, passando de 7.025 no domingo para 7.321 na segunda-feira. Em relação ao número de infetados, o crescimento foi de 7%, passando de 101.147 para 107.780 casos confirmados.De acordo com a tutela, a taxa de letalidade da doença no país está agora em 6,8%, estando ainda a ser investigada uma eventual ligação com a covid-19 em 1.427 mortes.O ministério brasileiro deu ainda conta da recuperação de 45.815 doentes, sendo que 54.644 continuam sob observação médica.
São Paulo o mais flagelado
São Paulo, centro da covid-19 no país, totaliza oficialmente 2.654 mortos e 32.187 infetados.Seguem-se Rio de Janeiro, com 1.065 óbitos e 11.721 infetados, Ceará, com 712 mortos e 11.040 infetados, Pernambuco, 691 vítimas mortais e 8.863 casos, e Amazonas, com 584 mortes e 7.242 pessoas diagnosticadas com covid-19.O sudeste brasileiro, que engloba São Paulo e Rio de Janeiro, é a região mais afetada do país, com 49.481 casos da doença. No lado oposto está o centro-oeste, que concentra 3.247 casos de infeção pelo novo coronavírus.Apesar de muitos municípios do país não registarem casos, a covid-19 está presente em todos os Estados do país.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
