prediction_covid_topic,title,description,authors,date_download,date_publish,maintext,url,gdelt_title,gdelt_url,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,Marta Andrino assume cabelos brancos durante isolamento social,Atriz não escondeu as raízes do seu cabelo nas imagens que partilhou nas redes sociais.,Notícias Ao Minuto,2020-04-21 10:15:25,2020-04-21 08:18:00,"Marta Andrino tem estado ativa nas redes sociais, onde vai partilhando alguns dos momentos que ocupam o seu dia nesta fase em que se encontra em isolamento social com o companheiro, Frederico Amaral, e os filho, Manuel e António.
Em casa há já vários dias, e com os cabeleireiros fechados por causa da pandemia da Covid-19, a atriz e apresentadora decidiu deixar crescer o seu cabelo de forma natural e não se tem preocupado com as raízes, como fez questão de destacar esta segunda-feira nas stories da sua página de Instagram.
""Se me amas com cabelos brancos está tudo certo"", escreveu na legenda de uma fotografia em que aparece ao lado do companheiro.
Leia Também: Rita Ferro Rodrigues assume cabelos brancos na quarentena
Recomendados para si",https://www.noticiasaominuto.com/fama/1461714/marta-andrino-assume-cabelos-brancos-durante-isolamento-social,Marta Andrino assume cabelos brancos durante isolamento social,https://www.noticiasaominuto.com/fama/1461714/marta-andrino-assume-cabelos-brancos-durante-isolamento-social,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-21T05:45:00Z,https://media-manager.noticiasaominuto.com/1280/1587446250/naom_5e9e809303f17.jpg?crop_params=eyJwb3J0cmFpdCI6eyJjcm9wV2lkdGgiOjQwNSwiY3JvcEhlaWdodCI6NzIwLCJjcm9wWCI6MzAyLCJjcm9wWSI6NTV9LCJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDY0LCJjcm9wSGVpZ2h0Ijo1OTgsImNyb3BYIjo2LCJjcm9wWSI6NDJ9fQ==,noticiasaominuto.com,Portuguese,Portugal,"Marta Andrino tem estado ativa nas redes sociais, onde vai partilhando alguns dos momentos que ocupam o seu dia nesta fase em que se encontra em isolamento social com o companheiro, Frederico Amaral, e os filho, Manuel e António.
Em casa há já vários dias, e com os cabeleireiros fechados por causa da pandemia da Covid-19, a atriz e apresentadora decidiu deixar crescer o seu cabelo de forma natural e não se tem preocupado com as raízes, como fez questão de destacar esta segunda-feira nas stories da sua página de Instagram.
""Se me amas com cabelos brancos está tudo certo"", escreveu na legenda de uma fotografia em que aparece ao lado do companheiro.
Leia Também: Rita Ferro Rodrigues assume cabelos brancos na quarentena
Recomendados para si",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,China regista sete novos casos de contágio local e quatro importados,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-21 10:15:26,NA,"Covid-19
A China registou 11 casos de infeção pelo novo coronavírus, nas últimas 24 horas, incluindo sete de contágio local, informou hoje a Comissão de Saúde do país.
O país continua assim a reduzir os casos importados, depois de um aumento significativo, na semana passada, entre cidadãos chineses que entraram na província de Heilongjiang, no nordeste da China, a partir da Rússia.
Entre os casos de contágio local, seis foram detetados em Heilongjiang. O outro na província de Guangdong, adjacente a Macau, no sudeste do país.",http://www.destak.pt/artigo/415897-china-regista-sete-novos-casos-de-contagio-local-e-quatro-importados,Destak . pt | Covid - 19 : China regista sete novos casos de contágio local e quatro importados,http://www.destak.pt/artigo/415897-china-regista-sete-novos-casos-de-contagio-local-e-quatro-importados,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-21T05:30:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
A China registou 11 casos de infeção pelo novo coronavírus, nas últimas 24 horas, incluindo sete de contágio local, informou hoje a Comissão de Saúde do país.
O país continua assim a reduzir os casos importados, depois de um aumento significativo, na semana passada, entre cidadãos chineses que entraram na província de Heilongjiang, no nordeste da China, a partir da Rússia.
Entre os casos de contágio local, seis foram detetados em Heilongjiang. O outro na província de Guangdong, adjacente a Macau, no sudeste do país.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Trump anuncia suspensão temporária da imigração para os EUA,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-21 10:15:31,NA,"Covid-19
O Presidente norte-americano anunciou a suspensão temporária da imigração para os Estados Unidos para ""proteger os empregos"" no país, na sequência da crise económica causada pela pandemia da covid-19.
""À luz do ataque do inimigo invisível e perante a necessidade de proteger os empregos dos nossos grandes cidadãos norte-americanos, vou assinar um decreto presidencial para suspender temporariamente da imigração para os Estados Unidos"", escreveu Donald Trump na rede social Twitter.
O novo coronavírus, que Trump denomina de ""Inimigo Invisível"", já matou mais de 42 mil pessoas nos Estados Unidos, onde foram já registados 766.660 casos de infeção.",http://www.destak.pt/artigo/415901-trump-anuncia-suspensao-temporaria-da-imigracao-para-os-eua,Destak . pt | Covid - 19 : Trump anuncia suspensão temporária da imigrao para os EUA,http://www.destak.pt/artigo/415901-trump-anuncia-suspensao-temporaria-da-imigracao-para-os-eua,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-21T05:30:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
O Presidente norte-americano anunciou a suspensão temporária da imigração para os Estados Unidos para ""proteger os empregos"" no país, na sequência da crise económica causada pela pandemia da covid-19.
""À luz do ataque do inimigo invisível e perante a necessidade de proteger os empregos dos nossos grandes cidadãos norte-americanos, vou assinar um decreto presidencial para suspender temporariamente da imigração para os Estados Unidos"", escreveu Donald Trump na rede social Twitter.
O novo coronavírus, que Trump denomina de ""Inimigo Invisível"", já matou mais de 42 mil pessoas nos Estados Unidos, onde foram já registados 766.660 casos de infeção.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
