prediction_covid_topic,title,description,authors,date_download,maintext,url,gdelt_title,gdelt_url,date_publish,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,Polícia de Hong Kong utiliza gás pimenta para dispersar manifestantes pró-democráticos,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-02 10:15:23,"Actualidade
A polícia de Hong Kong utilizou gás pimenta para dispersar mais de 100 manifestantes que se reuniram num centro comercial para cantar slogans pró-democráticos na sexta-feira.
Quando os manifestantes se reuniram, a polícia parou e revistou alguns e depois disse-lhes para irem embora porque estavam a violar as regras de distanciamento social para prevenção à covid-19, de acordo com a agência AP.
De seguida, segundo a agência AP, a polícia usou gás pimenta para dispersar a multidão e assim isolar o átrio do 'shopping'.",http://www.destak.pt/artigo/418352-policia-de-hong-kong-utiliza-gas-pimenta-para-dispersar-manifestantes-pro-democraticos,Destak . pt | Actualidade : Polícia de Hong Kong utiliza gás pimenta para dispersar manifestantes pró - democráticos,http://www.destak.pt/artigo/418352-policia-de-hong-kong-utiliza-gas-pimenta-para-dispersar-manifestantes-pro-democraticos,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-02T05:30:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Actualidade
A polícia de Hong Kong utilizou gás pimenta para dispersar mais de 100 manifestantes que se reuniram num centro comercial para cantar slogans pró-democráticos na sexta-feira.
Quando os manifestantes se reuniram, a polícia parou e revistou alguns e depois disse-lhes para irem embora porque estavam a violar as regras de distanciamento social para prevenção à covid-19, de acordo com a agência AP.
De seguida, segundo a agência AP, a polícia usou gás pimenta para dispersar a multidão e assim isolar o átrio do 'shopping'.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Guineense cria engenho para lavagem das mãos movido com os pés,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-02 10:15:23,"Covid-19
Juviano Landim, um conhecido ativista social da Guiné-Bissau, criou um engenho para facilitar à população de Bissau a lavagem de mãos e que é movido com os pés para evitar o contágio pelo novo coronavírus.
O engenho é uma estrutura de metal com a forma de um armário e que tem lá dentro uma conduta de água, formada por pequenos tubos de plástico que canalizam o líquido a partir de um recipiente colocado por cima, em forma de reservatório.
Além do recipiente com água, o engenho tem também um vasilhame com sabão líquido.",http://www.destak.pt/artigo/418355-guineense-cria-engenho-para-lavagem-das-maos-movido-com-os-pes,Destak . pt | Covid - 19 : Guineense cria engenho para lavagem das mãos movido com os pés,http://www.destak.pt/artigo/418355-guineense-cria-engenho-para-lavagem-das-maos-movido-com-os-pes,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-02T05:30:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
Juviano Landim, um conhecido ativista social da Guiné-Bissau, criou um engenho para facilitar à população de Bissau a lavagem de mãos e que é movido com os pés para evitar o contágio pelo novo coronavírus.
O engenho é uma estrutura de metal com a forma de um armário e que tem lá dentro uma conduta de água, formada por pequenos tubos de plástico que canalizam o líquido a partir de um recipiente colocado por cima, em forma de reservatório.
Além do recipiente com água, o engenho tem também um vasilhame com sabão líquido.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Portugal’s Renato Sanches earns Ligue 1 Team of the Season recognition in France,NA,Sean Gillen,2020-05-02 10:15:24,"The decision made by the French government this week to end the 2019-20 Ligue 1 season due to the Covid-19 pandemic has led to national newspapers publishing their Team of the Season early this year.
For Portugal midfielder Renato Sanches, there was a place in the starting line-up of the team produced by prestigious paper L’Equipe in recognition of a superb debut campaign with Lille.
Sanches made 19 appearances for his new club in what turned out to be a 28-game league term, following a club-record €25m move from Bayern Munich last summer. Sanches scored three goals in Ligue 1 and was named Lille’s Player of the Month in both December and January.
Renato Sanches selected by @lequipe for the Team of the Season in France based on ratings pic.twitter.com/MU3adsyanh — S Gillen 🇵🇹 Portuguese Abroad (@SeanGillen9) May 2, 2020
France Football magazine also announced their Team of the Season, with Sanches this time named among the substitutes as Marco Verratti and young Rennes sensation Eduardo Camavinga taking the midfield berths.
By Sean Gillen
@SeanGillen9",https://portugoal.net/portuguese-abroad/1597-portugal-s-renato-sanches-earns-ligue-1-team-of-the-season-recognition-in-france,Portugal Renato Sanches earns Ligue 1 Team of the Season recognition in France,https://portugoal.net/portuguese-abroad/1597-portugal-s-renato-sanches-earns-ligue-1-team-of-the-season-recognition-in-france,2020-05-02 06:48:45,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-02T05:15:00Z,NA,portugoal.net,English,Portugal,"The decision made by the French government this week to end the 2019-20 Ligue 1 season due to the Covid-19 pandemic has led to national newspapers publishing their Team of the Season early this year.
For Portugal midfielder Renato Sanches, there was a place in the starting line-up of the team produced by prestigious paper L’Equipe in recognition of a superb debut campaign with Lille.
Sanches made 19 appearances for his new club in what turned out to be a 28-game league term, following a club-record €25m move from Bayern Munich last summer. Sanches scored three goals in Ligue 1 and was named Lille’s Player of the Month in both December and January.
Renato Sanches selected by @lequipe for the Team of the Season in France based on ratings pic.twitter.com/MU3adsyanh — S Gillen 🇵🇹 Portuguese Abroad (@SeanGillen9) May 2, 2020
France Football magazine also announced their Team of the Season, with Sanches this time named among the substitutes as Marco Verratti and young Rennes sensation Eduardo Camavinga taking the midfield berths.
By Sean Gillen
@SeanGillen9",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
