prediction_covid_topic,title,description,authors,date_download,maintext,url,gdelt_title,gdelt_url,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,"Bolsonaro diz que isolamento social contra a pandemia foi ""inútil""","As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-01 09:15:20,"Covid-19
O Presidente brasileiro, Jair Bolsonaro, afirmou na noite de quinta-feira que os esforços para travar a disseminação do novo coronavírus no país, como o isolamento social, foram ""inúteis"" e geraram desemprego.
""Eu já disse que 70% da população vai ser infetada. Pelo que parece, pelo que estamos a ver agora, todo o empenho para achatar a curva praticamente foi inútil. Agora, o efeito colateral disso: desemprego. O povo quer voltar a trabalhar"", afirmou Bolsonaro, durante uma transmissão de vídeo em direto no Facebook.
O isolamento social é recomendado pela Organização Mundial de Saúde (OMS), e pelo próprio Ministério da Saúde do Brasil, para enfrentar a pandemia da covid-19.",http://www.destak.pt/artigo/418183-bolsonaro-diz-que-isolamento-social-contra-a-pandemia-foi-inutil,Destak . pt | Covid - 19 : Bolsonaro diz que isolamento social contra a pandemia foi  inútil  ,http://www.destak.pt/artigo/418183-bolsonaro-diz-que-isolamento-social-contra-a-pandemia-foi-inutil,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-01T04:30:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
O Presidente brasileiro, Jair Bolsonaro, afirmou na noite de quinta-feira que os esforços para travar a disseminação do novo coronavírus no país, como o isolamento social, foram ""inúteis"" e geraram desemprego.
""Eu já disse que 70% da população vai ser infetada. Pelo que parece, pelo que estamos a ver agora, todo o empenho para achatar a curva praticamente foi inútil. Agora, o efeito colateral disso: desemprego. O povo quer voltar a trabalhar"", afirmou Bolsonaro, durante uma transmissão de vídeo em direto no Facebook.
O isolamento social é recomendado pela Organização Mundial de Saúde (OMS), e pelo próprio Ministério da Saúde do Brasil, para enfrentar a pandemia da covid-19.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,China regista 12 casos de infeção nas últimas 24 horas,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-01 09:15:21,"Covid-19
A China registou 12 casos de infeção pelo novo coronavírus nas últimas 24 horas, metade oriundos do exterior, informou hoje a Comissão de Saúde do país.
Dos seis novos casos importados que foram diagnosticados, cinco foram detetados na cidade oriental de Xangai e um na província de Fujian, no sul, segundo as autoridades chinesas.
Entre as seis novas infeções locais, cinco foram registadas na província de Heilongjiang, no norte, na fronteira com a Rússia.",http://www.destak.pt/artigo/418184-china-regista-12-casos-de-infecao-nas-ultimas-24-horas,Destak . pt | Covid - 19 : China regista 12 casos de infeo nas últimas 24 horas,http://www.destak.pt/artigo/418184-china-regista-12-casos-de-infecao-nas-ultimas-24-horas,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-01T04:30:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
A China registou 12 casos de infeção pelo novo coronavírus nas últimas 24 horas, metade oriundos do exterior, informou hoje a Comissão de Saúde do país.
Dos seis novos casos importados que foram diagnosticados, cinco foram detetados na cidade oriental de Xangai e um na província de Fujian, no sul, segundo as autoridades chinesas.
Entre as seis novas infeções locais, cinco foram registadas na província de Heilongjiang, no norte, na fronteira com a Rússia.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
