metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9779005524861878,"svm
baseline",2020-03-28,2959,0.23825616762419735
Kappa,0.9372741224813108,"svm
baseline",2020-03-28,2959,0.23825616762419735
AccuracyLower,0.9682176073746886,"svm
baseline",2020-03-28,2959,0.23825616762419735
AccuracyUpper,0.9852660402349309,"svm
baseline",2020-03-28,2959,0.23825616762419735
AccuracyNull,0.7624309392265194,"svm
baseline",2020-03-28,2959,0.23825616762419735
AccuracyPValue,7.314988064821618e-107,"svm
baseline",2020-03-28,2959,0.23825616762419735
McnemarPValue,1.3826942406517023e-5,"svm
baseline",2020-03-28,2959,0.23825616762419735
Sensitivity,0.9979296066252588,"svm
baseline",2020-03-28,2959,0.23825616762419735
Specificity,0.9136212624584718,"svm
baseline",2020-03-28,2959,0.23825616762419735
Pos Pred Value,0.9737373737373738,"svm
baseline",2020-03-28,2959,0.23825616762419735
Neg Pred Value,0.9927797833935017,"svm
baseline",2020-03-28,2959,0.23825616762419735
Precision,0.9737373737373738,"svm
baseline",2020-03-28,2959,0.23825616762419735
Recall,0.9979296066252588,"svm
baseline",2020-03-28,2959,0.23825616762419735
F1,0.9856850715746421,"svm
baseline",2020-03-28,2959,0.23825616762419735
Prevalence,0.7624309392265194,"svm
baseline",2020-03-28,2959,0.23825616762419735
Detection Rate,0.760852407261247,"svm
baseline",2020-03-28,2959,0.23825616762419735
Detection Prevalence,0.7813733228097869,"svm
baseline",2020-03-28,2959,0.23825616762419735
Balanced Accuracy,0.9557754345418652,"svm
baseline",2020-03-28,2959,0.23825616762419735
Accuracy,0.287292817679558,"nb
baseline",2020-03-28,2959,0.23825616762419735
Kappa,0.030995251110149318,"nb
baseline",2020-03-28,2959,0.23825616762419735
AccuracyLower,0.2624995530555816,"nb
baseline",2020-03-28,2959,0.23825616762419735
AccuracyUpper,0.31307700505584457,"nb
baseline",2020-03-28,2959,0.23825616762419735
AccuracyNull,0.7624309392265194,"nb
baseline",2020-03-28,2959,0.23825616762419735
AccuracyPValue,1,"nb
baseline",2020-03-28,2959,0.23825616762419735
McnemarPValue,4.383481918441756e-197,"nb
baseline",2020-03-28,2959,0.23825616762419735
Sensitivity,0.06625258799171843,"nb
baseline",2020-03-28,2959,0.23825616762419735
Specificity,0.9966777408637874,"nb
baseline",2020-03-28,2959,0.23825616762419735
Pos Pred Value,0.9846153846153846,"nb
baseline",2020-03-28,2959,0.23825616762419735
Neg Pred Value,0.24958402662229612,"nb
baseline",2020-03-28,2959,0.23825616762419735
Precision,0.9846153846153847,"nb
baseline",2020-03-28,2959,0.23825616762419735
Recall,0.06625258799171843,"nb
baseline",2020-03-28,2959,0.23825616762419735
F1,0.12415130940834142,"nb
baseline",2020-03-28,2959,0.23825616762419735
Prevalence,0.7624309392265194,"nb
baseline",2020-03-28,2959,0.23825616762419735
Detection Rate,0.050513022888713496,"nb
baseline",2020-03-28,2959,0.23825616762419735
Detection Prevalence,0.05130228887134965,"nb
baseline",2020-03-28,2959,0.23825616762419735
Balanced Accuracy,0.5314651644277529,"nb
baseline",2020-03-28,2959,0.23825616762419735
Accuracy,0.9857932123125493,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Kappa,0.9599587051102426,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
AccuracyLower,0.9776397787738987,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
AccuracyUpper,0.9915590034987538,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
AccuracyNull,0.7624309392265194,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
AccuracyPValue,4.4065552652234543e-119,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
McnemarPValue,6.151089035272799e-5,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Sensitivity,1,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Specificity,0.9401993355481728,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Pos Pred Value,0.9817073170731707,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Neg Pred Value,1,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Precision,0.9817073170731707,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Recall,1,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
F1,0.9907692307692307,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Prevalence,0.7624309392265194,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Detection Rate,0.7624309392265194,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Detection Prevalence,0.77663772691397,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Balanced Accuracy,0.9700996677740864,"logitboost
baseline",2020-03-28,2959,0.23825616762419735
Accuracy,0.9921073401736386,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Kappa,0.978011565187813,"random forests
baseline",2020-03-28,2959,0.23825616762419735
AccuracyLower,0.9855331593179864,"random forests
baseline",2020-03-28,2959,0.23825616762419735
AccuracyUpper,0.9962088627799544,"random forests
baseline",2020-03-28,2959,0.23825616762419735
AccuracyNull,0.7624309392265194,"random forests
baseline",2020-03-28,2959,0.23825616762419735
AccuracyPValue,1.4049947749736488e-130,"random forests
baseline",2020-03-28,2959,0.23825616762419735
McnemarPValue,0.026856695507524342,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Sensitivity,0.9989648033126294,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Specificity,0.9700996677740864,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Pos Pred Value,0.990759753593429,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Neg Pred Value,0.9965870307167235,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Precision,0.9907597535934292,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Recall,0.9989648033126294,"random forests
baseline",2020-03-28,2959,0.23825616762419735
F1,0.9948453608247423,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Prevalence,0.7624309392265194,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Detection Rate,0.7616416732438832,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Detection Prevalence,0.7687450670876085,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Balanced Accuracy,0.9845322355433579,"random forests
baseline",2020-03-28,2959,0.23825616762419735
Accuracy,0.9705882352941176,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Kappa,0.9164395710136185,"fastText
baseline",2020-03-28,2959,0.23825616762419735
AccuracyLower,0.9596860895480248,"fastText
baseline",2020-03-28,2959,0.23825616762419735
AccuracyUpper,0.97920866499037,"fastText
baseline",2020-03-28,2959,0.23825616762419735
AccuracyNull,0.7615262321144675,"fastText
baseline",2020-03-28,2959,0.23825616762419735
AccuracyPValue,7.308381524627808e-97,"fastText
baseline",2020-03-28,2959,0.23825616762419735
McnemarPValue,1.916753455669747e-5,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Sensitivity,0.9947807933194155,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Specificity,0.8933333333333333,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Pos Pred Value,0.9675126903553299,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Neg Pred Value,0.98168498168498175,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Precision,0.9675126903553299,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Recall,0.9947807933194155,"fastText
baseline",2020-03-28,2959,0.23825616762419735
F1,0.9809572825527535,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Prevalence,0.7615262321144675,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Detection Rate,0.7575516693163752,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Detection Prevalence,0.7829888712241654,"fastText
baseline",2020-03-28,2959,0.23825616762419735
Balanced Accuracy,0.9440570633263744,"fastText
baseline",2020-03-28,2959,0.23825616762419735
