metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9821937321937322,"svm
baseline",2020-03-28,3282,0.3080438756855576
Kappa,0.9578524186227467,"svm
baseline",2020-03-28,3282,0.3080438756855576
AccuracyLower,0.9738260332731504,"svm
baseline",2020-03-28,3282,0.3080438756855576
AccuracyUpper,0.9884444153335674,"svm
baseline",2020-03-28,3282,0.3080438756855576
AccuracyNull,0.6923076923076923,"svm
baseline",2020-03-28,3282,0.3080438756855576
AccuracyPValue,2.4756229069489976e-180,"svm
baseline",2020-03-28,3282,0.3080438756855576
McnemarPValue,0.0163950718491923,"svm
baseline",2020-03-28,3282,0.3080438756855576
Sensitivity,0.9938271604938271,"svm
baseline",2020-03-28,3282,0.3080438756855576
Specificity,0.9560185185185185,"svm
baseline",2020-03-28,3282,0.3080438756855576
Pos Pred Value,0.9807106598984772,"svm
baseline",2020-03-28,3282,0.3080438756855576
Neg Pred Value,0.9856801909307874,"svm
baseline",2020-03-28,3282,0.3080438756855576
Precision,0.9807106598984772,"svm
baseline",2020-03-28,3282,0.3080438756855576
Recall,0.9938271604938271,"svm
baseline",2020-03-28,3282,0.3080438756855576
F1,0.9872253449156873,"svm
baseline",2020-03-28,3282,0.3080438756855576
Prevalence,0.6923076923076923,"svm
baseline",2020-03-28,3282,0.3080438756855576
Detection Rate,0.688034188034188,"svm
baseline",2020-03-28,3282,0.3080438756855576
Detection Prevalence,0.7015669515669516,"svm
baseline",2020-03-28,3282,0.3080438756855576
Balanced Accuracy,0.9749228395061729,"svm
baseline",2020-03-28,3282,0.3080438756855576
Accuracy,0.3425925925925926,"nb
baseline",2020-03-28,3282,0.3080438756855576
Kappa,0.014941302027748137,"nb
baseline",2020-03-28,3282,0.3080438756855576
AccuracyLower,0.31776366286351077,"nb
baseline",2020-03-28,3282,0.3080438756855576
AccuracyUpper,0.36808208244850404,"nb
baseline",2020-03-28,3282,0.3080438756855576
AccuracyNull,0.6923076923076923,"nb
baseline",2020-03-28,3282,0.3080438756855576
AccuracyPValue,1,"nb
baseline",2020-03-28,3282,0.3080438756855576
McnemarPValue,1.7877269863875864e-184,"nb
baseline",2020-03-28,3282,0.3080438756855576
Sensitivity,0.0720164609053498,"nb
baseline",2020-03-28,3282,0.3080438756855576
Specificity,0.9513888888888888,"nb
baseline",2020-03-28,3282,0.3080438756855576
Pos Pred Value,0.7692307692307692,"nb
baseline",2020-03-28,3282,0.3080438756855576
Neg Pred Value,0.3130236100533131,"nb
baseline",2020-03-28,3282,0.3080438756855576
Precision,0.7692307692307693,"nb
baseline",2020-03-28,3282,0.3080438756855576
Recall,0.0720164609053498,"nb
baseline",2020-03-28,3282,0.3080438756855576
F1,0.1317027281279398,"nb
baseline",2020-03-28,3282,0.3080438756855576
Prevalence,0.6923076923076923,"nb
baseline",2020-03-28,3282,0.3080438756855576
Detection Rate,0.04985754985754986,"nb
baseline",2020-03-28,3282,0.3080438756855576
Detection Prevalence,0.06481481481481481,"nb
baseline",2020-03-28,3282,0.3080438756855576
Balanced Accuracy,0.5117026748971193,"nb
baseline",2020-03-28,3282,0.3080438756855576
Accuracy,0.9807692307692307,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
Kappa,0.9540636042402826,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
AccuracyLower,0.9721428403231234,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
AccuracyUpper,0.987289502267777,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
AccuracyNull,0.6923076923076923,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
AccuracyPValue,1.3283141312678747e-177,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
McnemarPValue,5.623957756679231e-7,"logitboost
baseline",2020-03-28,3282,0.3080438756855576
