metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9748711340206185,"svm
baseline",2020-03-28,3625,0.37351724137931036
Kappa,0.94584690262319715,"svm
baseline",2020-03-28,3625,0.37351724137931036
AccuracyLower,0.9658068985364662,"svm
baseline",2020-03-28,3625,0.37351724137931036
AccuracyUpper,0.9820712913161377,"svm
baseline",2020-03-28,3625,0.37351724137931036
AccuracyNull,0.6262886597938144,"svm
baseline",2020-03-28,3625,0.37351724137931036
AccuracyPValue,6.223722462969973e-247,"svm
baseline",2020-03-28,3625,0.37351724137931036
McnemarPValue,1.2150197564308115e-4,"svm
baseline",2020-03-28,3625,0.37351724137931036
Sensitivity,0.992798353909465,"svm
baseline",2020-03-28,3625,0.37351724137931036
Specificity,0.9448275862068966,"svm
baseline",2020-03-28,3625,0.37351724137931036
Pos Pred Value,0.9679037111334001,"svm
baseline",2020-03-28,3625,0.37351724137931036
Neg Pred Value,0.9873873873873874,"svm
baseline",2020-03-28,3625,0.37351724137931036
Precision,0.9679037111334002,"svm
baseline",2020-03-28,3625,0.37351724137931036
Recall,0.992798353909465,"svm
baseline",2020-03-28,3625,0.37351724137931036
F1,0.9801929913661758,"svm
baseline",2020-03-28,3625,0.37351724137931036
Prevalence,0.6262886597938144,"svm
baseline",2020-03-28,3625,0.37351724137931036
Detection Rate,0.6217783505154639,"svm
baseline",2020-03-28,3625,0.37351724137931036
Detection Prevalence,0.6423969072164949,"svm
baseline",2020-03-28,3625,0.37351724137931036
Balanced Accuracy,0.9688129700581808,"svm
baseline",2020-03-28,3625,0.37351724137931036
Accuracy,0.42912371134020616,"nb
baseline",2020-03-28,3625,0.37351724137931036
Kappa,0.01141095543745818,"nb
baseline",2020-03-28,3625,0.37351724137931036
AccuracyLower,0.40433112604920957,"nb
baseline",2020-03-28,3625,0.37351724137931036
AccuracyUpper,0.45418495647718615,"nb
baseline",2020-03-28,3625,0.37351724137931036
AccuracyNull,0.6262886597938144,"nb
baseline",2020-03-28,3625,0.37351724137931036
AccuracyPValue,1,"nb
baseline",2020-03-28,3625,0.37351724137931036
McnemarPValue,1.584116817579802e-112,"nb
baseline",2020-03-28,3625,0.37351724137931036
Sensitivity,0.19855967078189302,"nb
baseline",2020-03-28,3625,0.37351724137931036
Specificity,0.8155172413793104,"nb
baseline",2020-03-28,3625,0.37351724137931036
Pos Pred Value,0.6433333333333334,"nb
baseline",2020-03-28,3625,0.37351724137931036
Neg Pred Value,0.37779552715654957,"nb
baseline",2020-03-28,3625,0.37351724137931036
Precision,0.6433333333333333,"nb
baseline",2020-03-28,3625,0.37351724137931036
Recall,0.19855967078189302,"nb
baseline",2020-03-28,3625,0.37351724137931036
F1,0.30345911949685533,"nb
baseline",2020-03-28,3625,0.37351724137931036
Prevalence,0.6262886597938144,"nb
baseline",2020-03-28,3625,0.37351724137931036
Detection Rate,0.12435567010309279,"nb
baseline",2020-03-28,3625,0.37351724137931036
Detection Prevalence,0.19329896907216496,"nb
baseline",2020-03-28,3625,0.37351724137931036
