metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9749826268241835,"svm
baseline",2020-03-28,3363,0.3247100802854594
Kappa,0.9422306180846579,"svm
baseline",2020-03-28,3363,0.3247100802854594
AccuracyLower,0.9655324196944176,"svm
baseline",2020-03-28,3363,0.3247100802854594
AccuracyUpper,0.9824180310637937,"svm
baseline",2020-03-28,3363,0.3247100802854594
AccuracyNull,0.6754690757470465,"svm
baseline",2020-03-28,3363,0.3247100802854594
AccuracyPValue,1.96521120762452e-185,"svm
baseline",2020-03-28,3363,0.3247100802854594
McnemarPValue,4.6525815807105e-4,"svm
baseline",2020-03-28,3363,0.3247100802854594
Sensitivity,0.992798353909465,"svm
baseline",2020-03-28,3363,0.3247100802854594
Specificity,0.9379014989293362,"svm
baseline",2020-03-28,3363,0.3247100802854594
Pos Pred Value,0.9708249496981892,"svm
baseline",2020-03-28,3363,0.3247100802854594
Neg Pred Value,0.9842696629213484,"svm
baseline",2020-03-28,3363,0.3247100802854594
Precision,0.9708249496981891,"svm
baseline",2020-03-28,3363,0.3247100802854594
Recall,0.992798353909465,"svm
baseline",2020-03-28,3363,0.3247100802854594
F1,0.9816887080366226,"svm
baseline",2020-03-28,3363,0.3247100802854594
Prevalence,0.6754690757470465,"svm
baseline",2020-03-28,3363,0.3247100802854594
Detection Rate,0.6706045865184156,"svm
baseline",2020-03-28,3363,0.3247100802854594
Detection Prevalence,0.6907574704656011,"svm
baseline",2020-03-28,3363,0.3247100802854594
Balanced Accuracy,0.9653499264194005,"svm
baseline",2020-03-28,3363,0.3247100802854594
Accuracy,0.3724808895066018,"nb
baseline",2020-03-28,3363,0.3247100802854594
Kappa,0.032929387800363676,"nb
baseline",2020-03-28,3363,0.3247100802854594
AccuracyLower,0.3474357935276909,"nb
baseline",2020-03-28,3363,0.3247100802854594
AccuracyUpper,0.39804782509958236,"nb
baseline",2020-03-28,3363,0.3247100802854594
AccuracyNull,0.6754690757470465,"nb
baseline",2020-03-28,3363,0.3247100802854594
AccuracyPValue,1,"nb
baseline",2020-03-28,3363,0.3247100802854594
McnemarPValue,5.776041672634748e-181,"nb
baseline",2020-03-28,3363,0.3247100802854594
Sensitivity,0.09156378600823045,"nb
baseline",2020-03-28,3363,0.3247100802854594
Specificity,0.9571734475374732,"nb
baseline",2020-03-28,3363,0.3247100802854594
Pos Pred Value,0.8165137614678899,"nb
baseline",2020-03-28,3363,0.3247100802854594
Neg Pred Value,0.3360902255639098,"nb
baseline",2020-03-28,3363,0.3247100802854594
Precision,0.8165137614678899,"nb
baseline",2020-03-28,3363,0.3247100802854594
Recall,0.09156378600823045,"nb
baseline",2020-03-28,3363,0.3247100802854594
F1,0.1646623496762257,"nb
baseline",2020-03-28,3363,0.3247100802854594
Prevalence,0.6754690757470465,"nb
baseline",2020-03-28,3363,0.3247100802854594
Detection Rate,0.06184850590687978,"nb
baseline",2020-03-28,3363,0.3247100802854594
Detection Prevalence,0.07574704656011119,"nb
baseline",2020-03-28,3363,0.3247100802854594
Balanced Accuracy,0.5243686167728518,"nb
baseline",2020-03-28,3363,0.3247100802854594
Accuracy,0.9742876997915219,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Kappa,0.9401200904671021,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
AccuracyLower,0.9647318837237909,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
AccuracyUpper,0.9818330175570358,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
AccuracyNull,0.6754690757470465,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
AccuracyPValue,3.5860233215992697e-184,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
McnemarPValue,3.251606172649691e-9,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Sensitivity,1,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Specificity,0.9207708779443254,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Pos Pred Value,0.9633300297324082,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Neg Pred Value,1,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Precision,0.9633300297324083,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Recall,1,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
F1,0.9813225643614336,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Prevalence,0.6754690757470465,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Detection Rate,0.6754690757470465,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Detection Prevalence,0.7011813759555247,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Balanced Accuracy,0.9603854389721627,"logitboost
baseline",2020-03-28,3363,0.3247100802854594
Accuracy,0.9895760945100764,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Kappa,0.976050807570985,"random forests
baseline",2020-03-28,3363,0.3247100802854594
AccuracyLower,0.9828655497201213,"random forests
baseline",2020-03-28,3363,0.3247100802854594
AccuracyUpper,0.9941544118277235,"random forests
baseline",2020-03-28,3363,0.3247100802854594
AccuracyNull,0.6754690757470465,"random forests
baseline",2020-03-28,3363,0.3247100802854594
AccuracyPValue,1.8165785511597943e-215,"random forests
baseline",2020-03-28,3363,0.3247100802854594
McnemarPValue,0.001945773693739153,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Sensitivity,0.9989711934156379,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Specificity,0.9700214132762313,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Pos Pred Value,0.9857868020304569,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Neg Pred Value,0.9977973568281939,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Precision,0.9857868020304569,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Recall,0.9989711934156379,"random forests
baseline",2020-03-28,3363,0.3247100802854594
F1,0.9923352069494124,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Prevalence,0.6754690757470465,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Detection Rate,0.674774148714385,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Detection Prevalence,0.684503127171647,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Balanced Accuracy,0.9844963033459346,"random forests
baseline",2020-03-28,3363,0.3247100802854594
Accuracy,0.9607977991746905,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Kappa,0.9108924942747477,"fastText
baseline",2020-03-28,3363,0.3247100802854594
AccuracyLower,0.9495049759874513,"fastText
baseline",2020-03-28,3363,0.3247100802854594
AccuracyUpper,0.9701759040737681,"fastText
baseline",2020-03-28,3363,0.3247100802854594
AccuracyNull,0.6623108665749656,"fastText
baseline",2020-03-28,3363,0.3247100802854594
AccuracyPValue,2.2934001520058526e-174,"fastText
baseline",2020-03-28,3363,0.3247100802854594
McnemarPValue,2.2501463293714726e-5,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Sensitivity,0.9875389408099688,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Specificity,0.9083503054989817,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Pos Pred Value,0.9548192771084337,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Neg Pred Value,0.9737991266375546,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Precision,0.9548192771084337,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Recall,0.9875389408099688,"fastText
baseline",2020-03-28,3363,0.3247100802854594
F1,0.9709035222052068,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Prevalence,0.6623108665749656,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Detection Rate,0.6540577716643742,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Detection Prevalence,0.6850068775790922,"fastText
baseline",2020-03-28,3363,0.3247100802854594
Balanced Accuracy,0.9479446231544753,"fastText
baseline",2020-03-28,3363,0.3247100802854594
