metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9738687061822817,"svm
baseline",2020-03-28,3664,0.38018558951965065
Kappa,0.9441924259104549,"svm
baseline",2020-03-28,3664,0.38018558951965065
AccuracyLower,0.9647156498220368,"svm
baseline",2020-03-28,3664,0.38018558951965065
AccuracyUpper,0.9811839434045386,"svm
baseline",2020-03-28,3664,0.38018558951965065
AccuracyNull,0.6195028680688337,"svm
baseline",2020-03-28,3664,0.38018558951965065
AccuracyPValue,2.1043887730822623e-254,"svm
baseline",2020-03-28,3664,0.38018558951965065
McnemarPValue,0.0017872890369872677,"svm
baseline",2020-03-28,3664,0.38018558951965065
Sensitivity,0.9897119341563786,"svm
baseline",2020-03-28,3664,0.38018558951965065
Specificity,0.948073701842546,"svm
baseline",2020-03-28,3664,0.38018558951965065
Pos Pred Value,0.9687814702920442,"svm
baseline",2020-03-28,3664,0.38018558951965065
Neg Pred Value,0.9826388888888888,"svm
baseline",2020-03-28,3664,0.38018558951965065
Precision,0.9687814702920443,"svm
baseline",2020-03-28,3664,0.38018558951965065
Recall,0.9897119341563786,"svm
baseline",2020-03-28,3664,0.38018558951965065
F1,0.9791348600508906,"svm
baseline",2020-03-28,3664,0.38018558951965065
Prevalence,0.6195028680688337,"svm
baseline",2020-03-28,3664,0.38018558951965065
Detection Rate,0.6131293817718292,"svm
baseline",2020-03-28,3664,0.38018558951965065
Detection Prevalence,0.6328871892925431,"svm
baseline",2020-03-28,3664,0.38018558951965065
Balanced Accuracy,0.9688928179994623,"svm
baseline",2020-03-28,3664,0.38018558951965065
Accuracy,0.4537922243467177,"nb
baseline",2020-03-28,3664,0.38018558951965065
Kappa,0.040707915356643774,"nb
baseline",2020-03-28,3664,0.38018558951965065
AccuracyLower,0.4289451370632173,"nb
baseline",2020-03-28,3664,0.38018558951965065
AccuracyUpper,0.4788125355747074,"nb
baseline",2020-03-28,3664,0.38018558951965065
AccuracyNull,0.6195028680688337,"nb
baseline",2020-03-28,3664,0.38018558951965065
AccuracyPValue,1,"nb
baseline",2020-03-28,3664,0.38018558951965065
McnemarPValue,1.3353753459791426e-106,"nb
baseline",2020-03-28,3664,0.38018558951965065
Sensitivity,0.22839506172839505,"nb
baseline",2020-03-28,3664,0.38018558951965065
Specificity,0.8207705192629816,"nb
baseline",2020-03-28,3664,0.38018558951965065
Pos Pred Value,0.6747720364741642,"nb
baseline",2020-03-28,3664,0.38018558951965065
Neg Pred Value,0.3951612903225806,"nb
baseline",2020-03-28,3664,0.38018558951965065
Precision,0.6747720364741642,"nb
baseline",2020-03-28,3664,0.38018558951965065
Recall,0.22839506172839505,"nb
baseline",2020-03-28,3664,0.38018558951965065
F1,0.34127594158339736,"nb
baseline",2020-03-28,3664,0.38018558951965065
Prevalence,0.6195028680688337,"nb
baseline",2020-03-28,3664,0.38018558951965065
Detection Rate,0.14149139579349904,"nb
baseline",2020-03-28,3664,0.38018558951965065
Detection Prevalence,0.20968769917144678,"nb
baseline",2020-03-28,3664,0.38018558951965065
Balanced Accuracy,0.5245827904956883,"nb
baseline",2020-03-28,3664,0.38018558951965065
Accuracy,0.9866156787762906,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Kappa,0.9714156327834037,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
AccuracyLower,0.979613076327668,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
AccuracyUpper,0.9916963180418346,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
AccuracyNull,0.6195028680688337,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
AccuracyPValue,4.182916199844617e-284,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
McnemarPValue,1.2749674921097081e-5,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Sensitivity,1,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Specificity,0.964824120603015,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Pos Pred Value,0.9788519637462236,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Neg Pred Value,1,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Precision,0.9788519637462235,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Recall,1,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
F1,0.9893129770992367,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Prevalence,0.6195028680688337,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Detection Rate,0.6195028680688337,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Detection Prevalence,0.6328871892925431,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Balanced Accuracy,0.9824120603015075,"logitboost
baseline",2020-03-28,3664,0.38018558951965065
Accuracy,0.9968132568514978,"random forests
baseline",2020-03-28,3664,0.38018558951965065
Kappa,0.9932294404126029,"random forests
baseline",2020-03-28,3664,0.38018558951965065
AccuracyLower,0.9925789968779629,"random forests
baseline",2020-03-28,3664,0.38018558951965065
AccuracyUpper,0.9989644885033863,"random forests
baseline",2020-03-28,3664,0.38018558951965065
AccuracyNull,0.6195028680688337,"random forests
baseline",2020-03-28,3664,0.38018558951965065
AccuracyPValue,3.5969712456e-314,"random forests
baseline",2020-03-28,3664,0.38018558951965065
McnemarPValue,0.07363827012030277,"random forests
baseline",2020-03-28,3664,0.38018558951965065
Sensitivity,1,"random forests
baseline",2020-03-28,3664,0.38018558951965065
Specificity,0.9916247906197655,"random forests
baseline",2020-03-28,3664,0.38018558951965065
Pos Pred Value,0.9948822927328558,"random forests
baseline",2020-03-28,3664,0.38018558951965065
