metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9837997054491899,"svm
baseline",2020-03-28,3174,0.2844990548204159
Kappa,0.9596180775198826,"svm
baseline",2020-03-28,3174,0.2844990548204159
AccuracyLower,0.9755747885750621,"svm
baseline",2020-03-28,3174,0.2844990548204159
AccuracyUpper,0.9898202369273849,"svm
baseline",2020-03-28,3174,0.2844990548204159
AccuracyNull,0.7157584683357879,"svm
baseline",2020-03-28,3174,0.2844990548204159
AccuracyPValue,5.83801012859058e-159,"svm
baseline",2020-03-28,3174,0.2844990548204159
McnemarPValue,2.896194097555521e-4,"svm
baseline",2020-03-28,3174,0.2844990548204159
Sensitivity,0.9979423868312757,"svm
baseline",2020-03-28,3174,0.2844990548204159
Specificity,0.9481865284974094,"svm
baseline",2020-03-28,3174,0.2844990548204159
Pos Pred Value,0.9797979797979799,"svm
baseline",2020-03-28,3174,0.2844990548204159
Neg Pred Value,0.9945652173913042,"svm
baseline",2020-03-28,3174,0.2844990548204159
Precision,0.9797979797979798,"svm
baseline",2020-03-28,3174,0.2844990548204159
Recall,0.9979423868312757,"svm
baseline",2020-03-28,3174,0.2844990548204159
F1,0.9887869520897044,"svm
baseline",2020-03-28,3174,0.2844990548204159
Prevalence,0.7157584683357879,"svm
baseline",2020-03-28,3174,0.2844990548204159
Detection Rate,0.7142857142857143,"svm
baseline",2020-03-28,3174,0.2844990548204159
Detection Prevalence,0.7290132547864506,"svm
baseline",2020-03-28,3174,0.2844990548204159
Balanced Accuracy,0.9730644576643426,"svm
baseline",2020-03-28,3174,0.2844990548204159
Accuracy,0.3232695139911635,"nb
baseline",2020-03-28,3174,0.2844990548204159
Kappa,0.0273222254956518,"nb
baseline",2020-03-28,3174,0.2844990548204159
AccuracyLower,0.2984297170662245,"nb
baseline",2020-03-28,3174,0.2844990548204159
AccuracyUpper,0.3488765019515866,"nb
baseline",2020-03-28,3174,0.2844990548204159
AccuracyNull,0.7157584683357879,"nb
baseline",2020-03-28,3174,0.2844990548204159
AccuracyPValue,1,"nb
baseline",2020-03-28,3174,0.2844990548204159
McnemarPValue,4.124425134996141e-197,"nb
baseline",2020-03-28,3174,0.2844990548204159
Sensitivity,0.059670781893004114,"nb
baseline",2020-03-28,3174,0.2844990548204159
Specificity,0.9870466321243523,"nb
baseline",2020-03-28,3174,0.2844990548204159
Pos Pred Value,0.9206349206349204,"nb
baseline",2020-03-28,3174,0.2844990548204159
Neg Pred Value,0.2942084942084942,"nb
baseline",2020-03-28,3174,0.2844990548204159
Precision,0.9206349206349206,"nb
baseline",2020-03-28,3174,0.2844990548204159
Recall,0.059670781893004114,"nb
baseline",2020-03-28,3174,0.2844990548204159
F1,0.11207729468599034,"nb
baseline",2020-03-28,3174,0.2844990548204159
Prevalence,0.7157584683357879,"nb
baseline",2020-03-28,3174,0.2844990548204159
Detection Rate,0.042709867452135494,"nb
baseline",2020-03-28,3174,0.2844990548204159
Detection Prevalence,0.04639175257731959,"nb
baseline",2020-03-28,3174,0.2844990548204159
Balanced Accuracy,0.5233587070086781,"nb
baseline",2020-03-28,3174,0.2844990548204159
Accuracy,0.9926362297496318,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Kappa,0.981760158168172,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
AccuracyLower,0.9864995842986238,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
AccuracyUpper,0.9964633031044015,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
AccuracyNull,0.7157584683357879,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
AccuracyPValue,3.3503337236971552e-177,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
McnemarPValue,0.00442652585791983,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Sensitivity,1,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Specificity,0.9740932642487047,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Pos Pred Value,0.989816700610998,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Neg Pred Value,1,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Precision,0.9898167006109979,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Recall,1,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
F1,0.9948822927328557,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Prevalence,0.7157584683357879,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Detection Rate,0.7157584683357879,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Detection Prevalence,0.7231222385861561,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Balanced Accuracy,0.9870466321243523,"logitboost
baseline",2020-03-28,3174,0.2844990548204159
Accuracy,0.9926362297496318,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Kappa,0.9817888254731151,"random forests
baseline",2020-03-28,3174,0.2844990548204159
AccuracyLower,0.9864995842986238,"random forests
baseline",2020-03-28,3174,0.2844990548204159
AccuracyUpper,0.9964633031044015,"random forests
baseline",2020-03-28,3174,0.2844990548204159
AccuracyNull,0.7157584683357879,"random forests
baseline",2020-03-28,3174,0.2844990548204159
AccuracyPValue,3.3503337236971552e-177,"random forests
baseline",2020-03-28,3174,0.2844990548204159
McnemarPValue,0.026856695507524342,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Sensitivity,0.9989711934156379,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Specificity,0.9766839378238342,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Pos Pred Value,0.9908163265306122,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Neg Pred Value,0.9973544973544973,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Precision,0.9908163265306122,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Recall,0.9989711934156379,"random forests
baseline",2020-03-28,3174,0.2844990548204159
F1,0.9948770491803278,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Prevalence,0.7157584683357879,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Detection Rate,0.7150220913107511,"random forests
baseline",2020-03-28,3174,0.2844990548204159
Detection Prevalence,0.7216494845360825,"random forests
baseline",2020-03-28,3174,0.2844990548204159
